PROJET;PHASE;EMET;LOT;LOT1;NIVEAU;ZONE;TYPE DE DOCUMENT;Numéro;INDICE;Libellé du document;Dernier indice;Date dépôt GED;Date de réception papier;Ajouté par;Chemin vers le fichier;Commentaire libre;Réponse commentaire libre;Délai de Réémission;Date demande visaCSSI;Retard visaCSSI;Date visaCSSI;VisaCSSI;Visa prévuCSSI;Numéro chrono visaCSSI;Numéro interne visaCSSI;Commentaire visaCSSI;Réponse commentaire visaCSSI;Date demande visaMOEX - EGIS;Retard visaMOEX - EGIS;Date visaMOEX - EGIS;VisaMOEX - EGIS;Visa prévuMOEX - EGIS;Numéro chrono visaMOEX - EGIS;Numéro interne visaMOEX - EGIS;Commentaire visaMOEX - EGIS;Réponse commentaire visaMOEX - EGIS;Date demande visaARC - ATELIERS 115;Retard visaARC - ATELIERS 115;Date visaARC - ATELIERS 115;VisaARC - ATELIERS 115;Visa prévuARC - ATELIERS 115;Numéro chrono visaARC - ATELIERS 115;Numéro interne visaARC - ATELIERS 115;Commentaire visaARC - ATELIERS 115;Réponse commentaire visaARC - ATELIERS 115;Date demande visaDECORATEUR - SAGUEZ;Retard visaDECORATEUR - SAGUEZ;Date visaDECORATEUR - SAGUEZ;VisaDECORATEUR - SAGUEZ;Visa prévuDECORATEUR - SAGUEZ;Numéro chrono visaDECORATEUR - SAGUEZ;Numéro interne visaDECORATEUR - SAGUEZ;Commentaire visaDECORATEUR - SAGUEZ;Réponse commentaire visaDECORATEUR - SAGUEZ;Date demande visaPAYSAGISTE - MUGO;Retard visaPAYSAGISTE - MUGO;Date visaPAYSAGISTE - MUGO;VisaPAYSAGISTE - MUGO;Visa prévuPAYSAGISTE - MUGO;Numéro chrono visaPAYSAGISTE - MUGO;Numéro interne visaPAYSAGISTE - MUGO;Commentaire visaPAYSAGISTE - MUGO;Réponse commentaire visaPAYSAGISTE - MUGO;Date demande visaBET FACADES - ELIOTH;Retard visaBET FACADES - ELIOTH;Date visaBET FACADES - ELIOTH;VisaBET FACADES - ELIOTH;Visa prévuBET FACADES - ELIOTH;Numéro chrono visaBET FACADES - ELIOTH;Numéro interne visaBET FACADES - ELIOTH;Commentaire visaBET FACADES - ELIOTH;Réponse commentaire visaBET FACADES - ELIOTH;Date demande visaBET STRUCTURE - TERRELL;Retard visaBET STRUCTURE - TERRELL;Date visaBET STRUCTURE - TERRELL;VisaBET STRUCTURE - TERRELL;Visa prévuBET STRUCTURE - TERRELL;Numéro chrono visaBET STRUCTURE - TERRELL;Numéro interne visaBET STRUCTURE - TERRELL;Commentaire visaBET STRUCTURE - TERRELL;Réponse commentaire visaBET STRUCTURE - TERRELL;Date demande visaBET POLLUTION DES SOLS - GINGER;Retard visaBET POLLUTION DES SOLS - GINGER;Date visaBET POLLUTION DES SOLS - GINGER;VisaBET POLLUTION DES SOLS - GINGER;Visa prévuBET POLLUTION DES SOLS - GINGER;Numéro chrono visaBET POLLUTION DES SOLS - GINGER;Numéro interne visaBET POLLUTION DES SOLS - GINGER;Commentaire visaBET POLLUTION DES SOLS - GINGER;Réponse commentaire visaBET POLLUTION DES SOLS - GINGER;Date demande visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Retard visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Date visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;VisaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Visa prévuBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Numéro chrono visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Numéro interne visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Commentaire visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Réponse commentaire visaBET GEOTECHNIQUE - GEOTECHNIQUE APPLIQUEE;Date demande visaBET  FLUIDES - PROJEX;Retard visaBET  FLUIDES - PROJEX;Date visaBET  FLUIDES - PROJEX;VisaBET  FLUIDES - PROJEX;Visa prévuBET  FLUIDES - PROJEX;Numéro chrono visaBET  FLUIDES - PROJEX;Numéro interne visaBET  FLUIDES - PROJEX;Commentaire visaBET  FLUIDES - PROJEX;Réponse commentaire visaBET  FLUIDES - PROJEX;Date demande visaBET CUISINES - CONVERGENCE;Retard visaBET CUISINES - CONVERGENCE;Date visaBET CUISINES - CONVERGENCE;VisaBET CUISINES - CONVERGENCE;Visa prévuBET CUISINES - CONVERGENCE;Numéro chrono visaBET CUISINES - CONVERGENCE;Numéro interne visaBET CUISINES - CONVERGENCE;Commentaire visaBET CUISINES - CONVERGENCE;Réponse commentaire visaBET CUISINES - CONVERGENCE;Date demande visaBET ACOUSTIQUE - STUDIO FA;Retard visaBET ACOUSTIQUE - STUDIO FA;Date visaBET ACOUSTIQUE - STUDIO FA;VisaBET ACOUSTIQUE - STUDIO FA;Visa prévuBET ACOUSTIQUE - STUDIO FA;Numéro chrono visaBET ACOUSTIQUE - STUDIO FA;Numéro interne visaBET ACOUSTIQUE - STUDIO FA;Commentaire visaBET ACOUSTIQUE - STUDIO FA;Réponse commentaire visaBET ACOUSTIQUE - STUDIO FA;Date demande visaCONTROLEUR TECHNIQUE - SOCOTEC;Retard visaCONTROLEUR TECHNIQUE - SOCOTEC;Date visaCONTROLEUR TECHNIQUE - SOCOTEC;VisaCONTROLEUR TECHNIQUE - SOCOTEC;Visa prévuCONTROLEUR TECHNIQUE - SOCOTEC;Numéro chrono visaCONTROLEUR TECHNIQUE - SOCOTEC;Numéro interne visaCONTROLEUR TECHNIQUE - SOCOTEC;Commentaire visaCONTROLEUR TECHNIQUE - SOCOTEC;Réponse commentaire visaCONTROLEUR TECHNIQUE - SOCOTEC;Date demande visaAMO ENVIRONNEMENT - GREENAFFAIR;Retard visaAMO ENVIRONNEMENT - GREENAFFAIR;Date visaAMO ENVIRONNEMENT - GREENAFFAIR;VisaAMO ENVIRONNEMENT - GREENAFFAIR;Visa prévuAMO ENVIRONNEMENT - GREENAFFAIR;Numéro chrono visaAMO ENVIRONNEMENT - GREENAFFAIR;Numéro interne visaAMO ENVIRONNEMENT - GREENAFFAIR;Commentaire visaAMO ENVIRONNEMENT - GREENAFFAIR;Réponse commentaire visaAMO ENVIRONNEMENT - GREENAFFAIR;Date demande visaAMO COMMISSIONNING - GREENAFFAIR;Retard visaAMO COMMISSIONNING - GREENAFFAIR;Date visaAMO COMMISSIONNING - GREENAFFAIR;VisaAMO COMMISSIONNING - GREENAFFAIR;Visa prévuAMO COMMISSIONNING - GREENAFFAIR;Numéro chrono visaAMO COMMISSIONNING - GREENAFFAIR;Numéro interne visaAMO COMMISSIONNING - GREENAFFAIR;Commentaire visaAMO COMMISSIONNING - GREENAFFAIR;Réponse commentaire visaAMO COMMISSIONNING - GREENAFFAIR;Date demande visaCSPS - SOCOTEC;Retard visaCSPS - SOCOTEC;Date visaCSPS - SOCOTEC;VisaCSPS - SOCOTEC;Visa prévuCSPS - SOCOTEC;Numéro chrono visaCSPS - SOCOTEC;Numéro interne visaCSPS - SOCOTEC;Commentaire visaCSPS - SOCOTEC;Réponse commentaire visaCSPS - SOCOTEC;Column163;Column164;Column165;Column166;Column167;Column168
GLF;EXE;DUM;Cloisons - Doublages;6;_;TZN;PLN;5002;D;Plan des plans vasques.pdf;DI;05/04/2024;;Manon OUVRARD;/01 - DOCUMENTS D'EXECUTION/Lot 06 - Menuiseries intérieures/Pièces graphiques;;;;;;;;;;;;;05/04/2024;;;0;26/04/2024;;;;;05/04/2024;;;-7;19/04/2024;;;;;05/04/2024;;;-7;19/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/04/2024;;;-7;19/04/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;DUM;Serrurerie - Métallerie;7;R+1;TZN;PLN;45;A;CLOISON VITREE CF REP CF1H-R+1-E.pdf;DI;24/04/2024;;Alessandro MELLONE;/01 - DOCUMENTS D'EXECUTION/Lot 07 - Serrurerie - Métallerie/Pièces graphiques;;;;;;;;;;;;;24/04/2024;;;19;15/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;DUM;Serrurerie - Métallerie;7;R+1;TZN;PLN;43;A;CLOISON VITREE CF REP CF1H-R+1-C.pdf;DI;24/04/2024;;Alessandro MELLONE;/01 - DOCUMENTS D'EXECUTION/Lot 07 - Serrurerie - Métallerie/Pièces graphiques;;;;;;;;;;;;;24/04/2024;;;19;15/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;DUM;Serrurerie - Métallerie;7;R+1;TZN;PLN;42;A;CLOISON VITREE CF REP CF1H-R+1-B.pdf;DI;24/04/2024;;Alessandro MELLONE;/01 - DOCUMENTS D'EXECUTION/Lot 07 - Serrurerie - Métallerie/Pièces graphiques;;;;;;;;;;;;;24/04/2024;;;19;15/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;DUM;Serrurerie - Métallerie;7;TNX;TZN;PLN;2041;B;CLOISON VITREE CF REP CF-1H-R+1-A.pdf;DI;24/04/2024;;Alessandro MELLONE;/01 - DOCUMENTS D'EXECUTION/Lot 07 - Serrurerie - Métallerie/Pièces graphiques;;;;;;;;;;;;;24/04/2024;;;19;15/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLF;EXE;DUM;Peinture;13;TNX;TZN;DAF;7112;A;PEINTURE PRIMAIRE FREITAG FREITAMETAL EXPERT.pdf;DI;10/03/2023;;Erell CORNIC;/01 - DOCUMENTS D'EXECUTION/Lot 13 - Peinture/Fiches Produits (DAF);;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-271;27/12/2023;VAO;;1385;;"Pierre Caltagirone :
Compléter localisations exhaustivement suivant CCTP (y compris les référence aux articles)
Joindre un plan (avec les zones d'intervention par niveau et le type d'intervention (ex. conduits, grilles , huisseries, etc.) pour les peintures spécifiques ou compléter les plans peinture MSP en indiquant la référence du plan.

-indiquer les RAL sur les plans 
-spécifier le ou les  produits dans la fiche technique (on a pas forcément tout le catalogue..)
-voir avis des viseurs en attente";;10/03/2023;-336;23/02/2024;VAO;;1852;;"Nicolas VIGNAU :
- Sous réserve validation GREENAFFAIR.
- Sous réserve validation EGIS.";;10/03/2023;-312;30/01/2024;NC;;317;;;;10/03/2023;-21;14/04/2023;NC;;23;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-88;20/06/2023;NC;;181;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-31;24/04/2023;NC;;155;;;;;;;;;;;;;10/03/2023;-14;07/04/2023;NC;;210;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-70;02/06/2023;D;;7;;"Sophie GERVAIS :
A+ et FDES ok. Est-ce que cette peinture n'est appliquée que dans des locaux aux sous-sols ?";;;;;;;;;;;10/03/2023;;;-399;24/03/2023;;;;;;;;;;
GLF;EXE;DUM;Peinture;13;TNX;TZN;DAF;7002;A;ENDUIT DE PAREMENT SUR ITE STO-LIT.pdf;DI;10/03/2023;;Erell CORNIC;/01 - DOCUMENTS D'EXECUTION/Lot 13 - Peinture/Fiches Produits (DAF);;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-206;23/10/2023;VAO;;1044;;"Ben MOTINGEA :
FDES à joindre pour les certifications environnementales comme demandé par GREENFFAIR";;10/03/2023;-80;12/06/2023;VSO;;309;;;;10/03/2023;-312;30/01/2024;NC;;318;;;;10/03/2023;-21;14/04/2023;NC;;24;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-88;20/06/2023;NC;;182;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-32;25/04/2023;NC;;188;;;;10/03/2023;;;-399;45009,68314;;;;;10/03/2023;-14;07/04/2023;NC;;211;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-70;02/06/2023;D;;6;;"Sophie GERVAIS :
Transmettre la FDES";;;;;;;;;;;10/03/2023;;;-399;24/03/2023;;;;;;;;;;
GLF;EXE;DUM;Peinture;13;TNX;TZN;DAF;7001;A;ITE ROCKWOOL ECOROCK MONO.pdf;DI;10/03/2023;;Erell CORNIC;/01 - DOCUMENTS D'EXECUTION/Lot 13 - Peinture/Fiches Produits (DAF);;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-206;23/10/2023;VSO;;1043;;;;10/03/2023;-80;12/06/2023;VSO;;308;;;;10/03/2023;-312;30/01/2024;NC;;319;;;;10/03/2023;-21;14/04/2023;NC;;25;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-88;20/06/2023;NC;;183;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-31;24/04/2023;NC;;157;;;;10/03/2023;;;-399;45009,6826;;;;;10/03/2023;-14;07/04/2023;NC;;212;;;;10/03/2023;;;-399;24/03/2023;;;;;10/03/2023;-70;02/06/2023;F;;9;;"Sophie GERVAIS :
Le certificat ACERMI est valable jusqu'au 31 décembre 2023";;;;;;;;;;;10/03/2023;;;-399;24/03/2023;;;;;;;;;;
GLF;EXE;DUM;Revêtements de sols souples;12;TNX;TZN;DAF;7307;A;COLLE POISSANTE BOSTIK ADHESITECH (sous Lès).pdf;DI;10/03/2023;;Erell CORNIC;/01 - DOCUMENTS D'EXECUTION/Lot 12 - Revêtements de sols souples/Fiches Produits (DAF);;;;10/03/2023;;;-400;24/03/2023;;;;;10/03/2023;-278;03/01/2024;VSO;;1519;;;;10/03/2023;-81;12/06/2023;VSO;;302;;;;10/03/2023;-287;04/01/2024;NC;;119;;;;10/03/2023;;15/03/2023;NC;;18;;;;;;;;;;;;;10/03/2023;-88;20/06/2023;NC;;184;;;;;;;;;;;;;;;;;;;;;;10/03/2023;-31;24/04/2023;NC;;147;;;;;;;;;;;;;10/03/2023;-15;07/04/2023;NC;;264;;;;10/03/2023;;;-400;24/03/2023;;;;;;;02/06/2023;F;;15;;"Sophie GERVAIS :
Label EC1 et A+ et FDES";;;;;;;;;;;;;;;;;;;;"EXE
10/03/2023
AMO ENVIRONNEMENT - GREENAFFAIR -> S
Sophie GERVAIS :
Intégrer FDES et mentionner les labels COV";;;;;
GLF;EXE;DUM;Revêtements de sols souples;12;TNX;TZN;DAF;7306;A;COLLE BOSTIK ACRYMANG E CONFORT (sous PVC).pdf;DI;10/03/2023;;Erell CORNIC;/01 - DOCUMENTS D'EXECUTION/Lot 12 - Revêtements de sols souples/Fiches Produits (DAF);;;;10/03/2023;;;-400;24/03/2023;;;;;;;03/01/2024;VSO;;1524;;;;10/03/2023;-81;12/06/2023;VSO;;303;;;;10/03/2023;-287;04/01/2024;NC;;121;;;;10/03/2023;;15/03/2023;NC;;17;;;;;;;;;;;;;10/03/2023;-88;20/06/2023;NC;;185;;;;;;;;;;;;;;;;;;;;;;10/03/2023;-31;24/04/2023;NC;;148;;;;;;;;;;;;;10/03/2023;-15;07/04/2023;NC;;265;;;;10/03/2023;;;-400;24/03/2023;;;;;10/03/2023;-71;02/06/2023;F;;16;;"Sophie GERVAIS :
Label EC1 et A+ ok
Intégrer FDES";;;;;;;;;;;;;;;;;;;;"EXE

MOEX - EGIS -> VAO
Goodlife EGIS :
MOEX - EGIS -> VAO
-produit conforme au CCTP
-respecter les les règles de mise en œuvre du fabricant et suivant CCTP.
-sous réserve avis Greenaffair";"EXE
10/03/2023
MOEX - EGIS -> VAO
Goodlife EGIS :
-produit conforme au CCTP
-respecter les les règles de mise en œuvre du fabricant et suivant CCTP.";;;;
