Date dépôt GED;LOT;desc_lot;ZONE;NIVEAU;TYPE DE DOCUMENT;Categ_Docs;INDICE;Libellé du document;Dernier indice;Nombre  d'indice;Durée _versi_type_doc
05/04/2024;6;Cloisons - Doublages;TZN;_;PLN;docs graphiques;D;Plan des plans vasques.pdf;DI;;
24/04/2024;7;Serrurerie - Métallerie;TZN;R+1;PLN;docs graphiques;A;CLOISON VITREE CF REP CF1H-R+1-E.pdf;DI;;
24/04/2024;7;Serrurerie - Métallerie;TZN;R+1;PLN;docs graphiques;A;CLOISON VITREE CF REP CF1H-R+1-C.pdf;DI;;
24/04/2024;7;Serrurerie - Métallerie;TZN;R+1;PLN;docs graphiques;A;CLOISON VITREE CF REP CF1H-R+1-B.pdf;DI;;
24/04/2024;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;B;CLOISON VITREE CF REP CF-1H-R+1-A.pdf;DI;;
10/03/2023;13;Peinture;TZN;TNX;DAF;docs écris;A;PEINTURE PRIMAIRE FREITAG FREITAMETAL EXPERT.pdf;DI;;
10/03/2023;13;Peinture;TZN;TNX;DAF;docs écris;A;ENDUIT DE PAREMENT SUR ITE STO-LIT.pdf;DI;;
10/03/2023;13;Peinture;TZN;TNX;DAF;docs écris;A;ITE ROCKWOOL ECOROCK MONO.pdf;DI;;
10/03/2023;12;Revêtements de sols souples;TZN;TNX;DAF;docs écris;A;COLLE POISSANTE BOSTIK ADHESITECH (sous Lès).pdf;DI;;
10/03/2023;12;Revêtements de sols souples;TZN;TNX;DAF;docs écris;A;COLLE BOSTIK ACRYMANG E CONFORT (sous PVC).pdf;DI;;
10/03/2023;12;Revêtements de sols souples;TZN;TNX;DAF;docs écris;A;COLLE POISSANTE BOSTIK DALFIX (sous DPA).pdf;DI;;
10/03/2023;12;Revêtements de sols souples;TZN;TNX;DAF;docs écris;A;RAGREAGE UZIN NC 133.pdf;DI;;
10/03/2023;12;Revêtements de sols souples;TZN;TNX;DAF;docs écris;A;PRIMAIRE UZIN PE 260.pdf;DI;;
28/03/2023;6;Cloisons - Doublages;TZN;TNX;DAF;docs écris;A;Trappe de visite sur gaine technique DECOFEU M1 EI30.pdf;;;
24/10/2023;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;A;CLOISON VITREE CF REP CF-1H-R+1-A.pdf;;;
26/10/2023;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;C;2.7.1  ESCALIERS CHAMBORD AVEC GARDE-CORPS VITRES.pdf;;;
24/10/2023;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;A;CLOISON VITREE CF REP CF-1H-R+1-F.pdf;;;
15/04/2024;9;Faux-plafonds;TZN;R+1;PLN;docs graphiques;E;PLAN DE REPERAGE DU PLAFOND R+1.pdf;DI;;
18/09/2023;9;Faux-plafonds;TZN;R+1;PLN;docs graphiques;D;PLAN DE REPERAGE DU PLAFOND R+1.pdf;;;
12/04/2024;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;C;escalier EI2.pdf;DI;;
13/12/2023;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;A;2.7.1  ESCALIERS METALLIQUES EI2.pdf;;;
12/04/2024;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;C;ESCALIERS METALLIQUES ES11.pdf;DI;;
23/02/2024;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;B;ESCALIERS METALLIQUES ES11.pdf;;;
22/12/2023;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;A;ESCALIERS METALLIQUES ES11.pdf;;;
27/03/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;B;COUCHE DRAINANTE TYPE FIXODRIVE FX 50.pdf;;;
23/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;COUCHE DRAINANTE TYPE FIXODRIVE FX 50.pdf;;;
23/02/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;B;CORNIERE ALU HT 15CM.pdf;;;
24/01/2024;23;Aménagements Extérieurs - Parvis - Espaces verts;TZN;TNX;DAF;docs écris;A;CORNIERE ALU HT 15CM.pdf;;;
28/07/2023;15;Plomberie;TZN;TNX;DAF;docs écris;A;Réseaux et prises colonnes sèches.pdf;;;
08/04/2024;9;Faux-plafonds;TZN;TNX;DET;docs graphiques;B;CARNET DE DETAILS PLAFONDS Paliers ASC.pdf;DI;;
20/10/2023;9;Faux-plafonds;TZN;TNX;DET;docs graphiques;A;CARNET DE DETAILS PLAFONDS Paliers ASC.pdf;;;
05/04/2024;15;Plomberie;TZN;TNX;DAF;docs écris;A;Ensemble de relevage EUH.pdf;DI;;
05/04/2024;10;Faux-planchers;TZN;TNX;DAF;docs écris;C;JOINT LITAFEU POUR BARRIERE COUPE-FEU EN SEUILS DE PORTES.pdf;DI;;
02/03/2023;10;Faux-planchers;TZN;TNX;DAF;docs écris;A;JOINT LITAFEU POUR BARRIERE COUPE-FEU EN SEUILS DE PORTES.pdf;;;
05/04/2024;10;Faux-planchers;TZN;TNX;DAF;docs écris;C;JOINT MOUSSE EN PERIPHERIE DES PLANCHERS.pdf;DI;;
02/03/2023;10;Faux-planchers;TZN;TNX;DAF;docs écris;A;JOINT MOUSSE EN PERIPHERIE DES PLANCHERS.pdf;;;
05/04/2024;10;Faux-planchers;TZN;R+1;PLN;docs graphiques;B;PLAN DE FAUX PLANCHERS R+1.pdf;DI;;
18/09/2023;10;Faux-planchers;TZN;R+1;PLN;docs graphiques;A;PLAN DE FAUX PLANCHERS R+1.pdf;;;
05/04/2024;6;Cloisons - Doublages;B;R+6;PAQ;docs écris;A;GLF-EXE-DUM-06-R+6-B-PAQ-0014-A (Autocontrôles renforts vasque sanitaire R6 B).pdf;DI;;
05/04/2024;6;Cloisons - Doublages;B;R+5;PAQ;docs écris;A;GLF-EXE-DUM-06-R+5-B-PAQ-0013-A (Autocontrôles renforts vasque sanitaire R5 B).pdf;DI;;
05/04/2024;6;Cloisons - Doublages;C;R+1;PAQ;docs écris;A;GLF-EXE-DUM-06-R+1-C-PAQ-0012-A (Autocontrôles renforts vasque sanitaire R1 C2).pdf;DI;;
05/04/2024;5;Cloisons - Doublages;C;R+2;PAQ;docs écris;A;Dossier autocontroles témpoin acoustique.pdf;DI;;
04/04/2024;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;C;2.6.3.3  GARDE-CORPS EXTERIEUR EN MAILLE INOX DES TOITURES TERRASSES ACCESSIBLES « PATIO » TYPE    « GC 3 ».pdf;DI;;
15/02/2024;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;B;2.6.3.3  GARDE-CORPS EXTERIEUR EN MAILLE INOX DES TOITURES TERRASSES ACCESSIBLES « PATIO » TYPE    « GC 3 ».pdf;;;
04/04/2024;7;Serrurerie - Métallerie;TZN;TNX;PLN;docs graphiques;B;2.6.3.2  GARDE-CORPS EXTERIEURS TECHNIQUES DES TOITURES TERRASSES INACCESSIBLES AU NIVEAU TOITURE    TYPE « GC 2 ».pdf;DI;;
04/04/2024;7;Serrurerie - Métallerie;A;TNX;NDC;docs écris;A;GLF-EXE-DUM-07-TNX-A-NDC-8004-A - NDC GC 2.pdf;DI;;
30/03/2024;6;Cloisons - Doublages;TZN;TNX;PLN;docs graphiques;A;Plan de détail des alimentations électriques.pdf;DI;;
30/03/2024;10;Faux-planchers;TZN;R+2;PLN;docs graphiques;B;PLAN DE FAUX PLANCHERS R+2.pdf;DI;;
30/03/2024;10;Faux-planchers;TZN;R+3;PLN;docs graphiques;B;PLAN DE FAUX PLANCHERS R+3.pdf;DI;;
30/03/2024;10;Faux-planchers;TZN;R+4;PLN;docs graphiques;B;PLAN DE FAUX PLANCHERS R+4.pdf;DI;;
