TYPE DE DOCUMENT,Categ_Docs,desc_lot,Libellé du document,min,max,Différence en jours,Nombre d'indices,Indices utilisés
ANF,docs écris,Electricité courants forts,Analyse fonctionnelle éclairage.pdf,2023-07-11,2024-02-14,218,3.0,"A, B, C"
CPE,docs graphiques,Façades,Coupe A-A.pdf,2023-04-14,2024-03-08,329,3.0,"A, B, C"
CPE,docs graphiques,Façades,Coupe B-B.pdf,2023-04-14,2024-03-08,329,3.0,"A, B, C"
CPE,docs graphiques,Gros-uvre, A-D1.pdf,2023-04-03,2023-04-03,0,1.0,A
CPE,docs graphiques,Gros-uvre, B1-D1.pdf,2023-04-03,2023-04-03,0,1.0,A
CPE,docs graphiques,Gros-uvre, C1-D1.pdf,2023-04-03,2023-04-03,0,1.0,A
CPE,docs graphiques,Gros-uvre, G-H2.pdf,2023-04-03,2023-04-03,0,1.0,A
CPE,docs graphiques,Gros-uvre, G-J.pdf,2023-04-03,2023-04-03,0,1.0,A
CPE,docs graphiques,Gros-uvre,Coupes & Vues 3D Zone 3 Escalier Chambord.pdf,2023-04-03,2023-04-03,0,1.0,A
CPE,docs graphiques,Gros-uvre,Coupes & Vues 3D Zone 7 - Patio intérieur.pdf,2023-04-03,2023-04-03,0,1.0,A
CPE,docs graphiques,Gros-uvre,Coupes verticales de synthèse.pdf,2023-12-07,2024-03-15,99,11.0,"A, B, C, E, F, G, H, I, K, L, M"
CRE,docs écris,Appareils élévateurs,Etude de trafic.pdf,2023-03-30,2023-03-30,0,1.0,A
CRE,docs écris,Appareils élévateurs,Etude énergetique.pdf,2023-03-30,2023-03-30,0,1.0,A
DAF,docs écris,Agencements mobiliers,Banque d'accueil de l'accueil fitness AG201.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Banquette alcolve du restaurant bistrot et salle à manger AG113 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Banquette de la salle à manger donnant sur le mur de la laverie bistrot patio AG119 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Banquette en croix du restaurant AG112 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Comptoir de droite hall 1 AG101A RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Comptoir de gauche hall 1 AG101A RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,Estrade du restaurant AG104 RDC.pdf,2023-05-26,2023-05-26,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7026-A - AG.S1 Oberflex Bois griffé Chêne Clair Mat.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7027-A - AG.S2b Oberflex Bronze brushed microperforé.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7028-A - AG.S4 Egger Chêne Corbridge.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7029-A - AG.S5 Oberflex Bronze brushed.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7030-A - AG.S1 Oberflex Bois griffé Chêne Naturel Mat.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7031-A - AG.S7 Fenix Beige Arizona.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7032-A - AG.S9 Fenix Verde Brac.pdf,2024-03-22,2024-04-23,32,2.0,"A, B"
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7033-A - AG.S10 Unilin Seashell.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7034-A - AG.R1 Miracle Vanilla.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7035-A - AG.R2 Timeless Reef.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7036-A - AG.R3 Martini.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7037-A - AG.P1 Marbre Mistral Beige Honed.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7038-A - AG.P2 Quartz Living Blanco Camelia.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7039-A - AG.P3 Marbre Aida White.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7040-A - AG.B1 Parquet semi-massif Chêne.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7041-A - AG.M1 Métal thermolaqué RAL 7016 mat.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7042-A - AG.M2 Métal thermolaqué RAL 9010 mat.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7043-A - AG.M5 Inox Brossé.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7045-A - AG.M7 Métal thermolaqué RAL 9005 mat.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7046-A - AG.Z1 Zellige vert émeraude.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7047-A - AG.Z2 Zellige gris sable.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7048-A - AG.Z3 Monocuisson blanc.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7049-A - AG.Z4 Zellige blanche.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7050-A - AG.V1 Verre cannelé.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7051-A - AG.V2 Miroir.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7052-A - AG.V3 Verre clair.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7053-A - AG.E1 Little Greene French Grey Satiné.pdf,2024-03-22,2024-04-23,32,2.0,"A, B"
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7054-A - AG.E3 Farrow & Ball Dimity 2008.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7055-A - AG.E4 Ressource Chaux RMDV 23 Marne.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7056-A - AG.T1 Kvadrat Steelcut Trio 0576.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7057-A - AG.T2 Kvadrat Hallingdal 65 0407.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7058-A - AG.T3 Kvadrat Canvas 2 0654.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7059-A - AG.T5 Kvadrat Field 2 0222.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7060-A - AG.T6 Pierre Frey Velvet Lines Tuile.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7061-A - AG.T7 Kvadrat Raas 0112.pdf,2024-03-22,2024-03-22,0,1.0,A
DAF,docs écris,Agencements mobiliers,GLF-EXE-DUM-24-TN-TZN-DAF-7062-A - AG.C2 Serge Ferrari Stamskin Top 20281.pdf,2024-03-22,2024-03-22,0,1.0,A
