TYPE DE DOCUMENT;Categ_Docs;desc_lot;Libellé du document;min;max;Différence en jours;Nombre d'indices;Indices utilisés
ANF;docs écris;Electricité courants forts;Analyse fonctionnelle éclairage.pdf;11/07/2023;14/02/2024;218;3.0;A, B, C
CPE;docs graphiques;Façades;Coupe A-A.pdf;14/04/2023;08/03/2024;329;3.0;A, B, C
CPE;docs graphiques;Façades;Coupe B-B.pdf;14/04/2023;08/03/2024;329;3.0;A, B, C
CPE;docs graphiques;Gros-œuvre; A-D1.pdf;03/04/2023;03/04/2023;0;1.0;A
CPE;docs graphiques;Gros-œuvre; B1-D1.pdf;03/04/2023;03/04/2023;0;1.0;A
CPE;docs graphiques;Gros-œuvre; C1-D1.pdf;03/04/2023;03/04/2023;0;1.0;A
CPE;docs graphiques;Gros-œuvre; G-H2.pdf;03/04/2023;03/04/2023;0;1.0;A
CPE;docs graphiques;Gros-œuvre; G-J.pdf;03/04/2023;03/04/2023;0;1.0;A
CPE;docs graphiques;Gros-œuvre;Coupes & Vues 3D Zone 3 Escalier Chambord.pdf;03/04/2023;03/04/2023;0;1.0;A
CPE;docs graphiques;Gros-œuvre;Coupes & Vues 3D Zone 7 - Patio intérieur.pdf;03/04/2023;03/04/2023;0;1.0;A
CPE;docs graphiques;Gros-œuvre;Coupes verticales de synthèse.pdf;07/12/2023;15/03/2024;99;11.0;A, B, C, E, F, G, H, I, K, L, M
CRE;docs écris;Appareils élévateurs;Etude de trafic.pdf;30/03/2023;30/03/2023;0;1.0;A
CRE;docs écris;Appareils élévateurs;Etude énergetique.pdf;30/03/2023;30/03/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Banque d'accueil de l'accueil fitness AG201.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Banquette alcolve du restaurant bistrot et salle à manger AG113 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Banquette de la salle à manger donnant sur le mur de la laverie bistrot patio AG119 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Banquette en croix du restaurant AG112 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Comptoir de droite hall 1 AG101A RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Comptoir de gauche hall 1 AG101A RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;Estrade du restaurant AG104 RDC.pdf;26/05/2023;26/05/2023;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7026-A - AG.S1 Oberflex Bois griffé Chêne Clair Mat.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7027-A - AG.S2b Oberflex Bronze brushed microperforé.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7028-A - AG.S4 Egger Chêne Corbridge.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7029-A - AG.S5 Oberflex Bronze brushed.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7030-A - AG.S1 Oberflex Bois griffé Chêne Naturel Mat.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7031-A - AG.S7 Fenix Beige Arizona.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7032-A - AG.S9 Fenix Verde Brac.pdf;22/03/2024;23/04/2024;32;2.0;A, B
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7033-A - AG.S10 Unilin Seashell.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7034-A - AG.R1 Miracle Vanilla.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7035-A - AG.R2 Timeless Reef.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7036-A - AG.R3 Martini.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7037-A - AG.P1 Marbre Mistral Beige Honed.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7038-A - AG.P2 Quartz Living Blanco Camelia.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7039-A - AG.P3 Marbre Aida White.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7040-A - AG.B1 Parquet semi-massif Chêne.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7041-A - AG.M1 Métal thermolaqué RAL 7016 mat.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7042-A - AG.M2 Métal thermolaqué RAL 9010 mat.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7043-A - AG.M5 Inox Brossé.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7045-A - AG.M7 Métal thermolaqué RAL 9005 mat.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7046-A - AG.Z1 Zellige vert émeraude.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7047-A - AG.Z2 Zellige gris sable.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7048-A - AG.Z3 Monocuisson blanc.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7049-A - AG.Z4 Zellige blanche.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7050-A - AG.V1 Verre cannelé.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7051-A - AG.V2 Miroir.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7052-A - AG.V3 Verre clair.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7053-A - AG.E1 Little Greene French Grey Satiné.pdf;22/03/2024;23/04/2024;32;2.0;A, B
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7054-A - AG.E3 Farrow & Ball Dimity 2008.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7055-A - AG.E4 Ressource Chaux RMDV 23 Marne.pdf;22/03/2024;22/03/2024;0;1.0;A
DAF;docs écris;Agencements mobiliers;GLF-EXE-DUM-24-TN-TZN-DAF-7056-A - AG.T1 Kvadrat Steelcut Trio 0576.pdf;22/03/2024;22/03/2024;0;1.0;A
