PROJET;EMET;PHASE;LOT;NIVEAU;ZONE;TYPE DE DOCUMENT;Numéro de document;INDICE;Libellé du document;Dernier indice;Date dépôt GED;Date de réception papier;Ajouté par;Chemin vers le fichier;Commentaire libre;Réponse commentaire libre;Date demande visaRIVAT Architectes;Retard visaRIVAT Architectes;Date visaRIVAT Architectes;VisaRIVAT Architectes;Visa prévuRIVAT Architectes;Numéro chrono visaRIVAT Architectes;Numéro interne visaRIVAT Architectes;Commentaire visaRIVAT Architectes;Réponse commentaire visaRIVAT Architectes;Date demande visaSCAU;Retard visaSCAU;Date visaSCAU;VisaSCAU;Visa prévuSCAU;Numéro chrono visaSCAU;Numéro interne visaSCAU;Commentaire visaSCAU;Réponse commentaire visaSCAU;Date demande visaJLL INGENIERIE;Retard visaJLL INGENIERIE;Date visaJLL INGENIERIE;VisaJLL INGENIERIE;Visa prévuJLL INGENIERIE;Numéro chrono visaJLL INGENIERIE;Numéro interne visaJLL INGENIERIE;Commentaire visaJLL INGENIERIE;Réponse commentaire visaJLL INGENIERIE;Date demande visaBTP Consultant;Retard visaBTP Consultant;Date visaBTP Consultant;VisaBTP Consultant;Visa prévuBTP Consultant;Numéro chrono visaBTP Consultant;Numéro interne visaBTP Consultant;Commentaire visaBTP Consultant;Réponse commentaire visaBTP Consultant;Date demande visaADVENIO ENV;Retard visaADVENIO ENV;Date visaADVENIO ENV;VisaADVENIO ENV;Visa prévuADVENIO ENV;Numéro chrono visaADVENIO ENV;Numéro interne visaADVENIO ENV;Commentaire visaADVENIO ENV;Réponse commentaire visaADVENIO ENV;Date demande visaADVENIO COM;Retard visaADVENIO COM;Date visaADVENIO COM;VisaADVENIO COM;Visa prévuADVENIO COM;Numéro chrono visaADVENIO COM;Numéro interne visaADVENIO COM;Commentaire visaADVENIO COM;Réponse commentaire visaADVENIO COM;Date demande visa42 CONSULTING;Retard visa42 CONSULTING;Date visa42 CONSULTING;Visa42 CONSULTING;Visa prévu42 CONSULTING;Numéro chrono visa42 CONSULTING;Numéro interne visa42 CONSULTING;Commentaire visa42 CONSULTING;Réponse commentaire visa42 CONSULTING;Date demande visaACOUSTB - EGIS;Retard visaACOUSTB - EGIS;Date visaACOUSTB - EGIS;VisaACOUSTB - EGIS;Visa prévuACOUSTB - EGIS;Numéro chrono visaACOUSTB - EGIS;Numéro interne visaACOUSTB - EGIS;Commentaire visaACOUSTB - EGIS;Réponse commentaire visaACOUSTB - EGIS;Date demande visaARCORA;Retard visaARCORA;Date visaARCORA;VisaARCORA;Visa prévuARCORA;Numéro chrono visaARCORA;Numéro interne visaARCORA;Commentaire visaARCORA;Réponse commentaire visaARCORA;Date demande visaJLL;Retard visaJLL;Date visaJLL;VisaJLL;Visa prévuJLL;Numéro chrono visaJLL;Numéro interne visaJLL;Commentaire visaJLL;Réponse commentaire visaJLL;Date demande visaKHEPHREN;Retard visaKHEPHREN;Date visaKHEPHREN;VisaKHEPHREN;Visa prévuKHEPHREN;Numéro chrono visaKHEPHREN;Numéro interne visaKHEPHREN;Commentaire visaKHEPHREN;Réponse commentaire visaKHEPHREN;Date demande visaLAND;Retard visaLAND;Date visaLAND;VisaLAND;Visa prévuLAND;Numéro chrono visaLAND;Numéro interne visaLAND;Commentaire visaLAND;Réponse commentaire visaLAND;Date demande visaPh. A;Retard visaPh. A;Date visaPh. A;VisaPh. A;Visa prévuPh. A;Numéro chrono visaPh. A;Numéro interne visaPh. A;Commentaire visaPh. A;Réponse commentaire visaPh. A;Date demande visaSOCOTEC;Retard visaSOCOTEC;Date visaSOCOTEC;VisaSOCOTEC;Visa prévuSOCOTEC;Numéro chrono visaSOCOTEC;Numéro interne visaSOCOTEC;Commentaire visaSOCOTEC;Réponse commentaire visaSOCOTEC;Date demande visaANTEA;Retard visaANTEA;Date visaANTEA;VisaANTEA;Visa prévuANTEA;Numéro chrono visaANTEA;Numéro interne visaANTEA;Commentaire visaANTEA;Réponse commentaire visaANTEA;Date demande visaMOVVEO;Retard visaMOVVEO;Date visaMOVVEO;VisaMOVVEO;Visa prévuMOVVEO;Numéro chrono visaMOVVEO;Numéro interne visaMOVVEO;Commentaire visaMOVVEO;Réponse commentaire visaMOVVEO;Column162;Column163;Column164;Column165;Column166
MDLF;DPR;EXE;SER;R06;TTZ;DAF;10;A;MDLF-DPR-EXE-SER-R06-TTZ-DAF-0010-A-Rampe d'accès pliables.pdf;DI;24/04/2024;;Modibo Kane MAIGA;/04 - DOCUMENTS D'EXECUTION/Lot 16 - Serrurerie - Métallerie/03 - Fiche Technique Produit;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SOL;EXE;SDR;RDC;TTZ;PLN;1017;B;MDLF-SOL-EXE-SDR-RDC-TTZ-PLN-1017-A - Plan de calepinage vestiaires.pdf;DI;24/04/2024;;Clémence GORIUS;/04 - DOCUMENTS D'EXECUTION/Lot 19 - Sols durs/02 - Pieces Graphiques;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;24/04/2024;;;12;08/05/2024;;;;;24/04/2024;;;12;08/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;SOL;EXE;SDR;RDC;TTZ;PLN;1017;A;MDLF-SOL-EXE-SDR-RDC-TTZ-PLN-1017-A - Plan de calepinage vestiaires.pdf;;23/04/2024;;Clémence GORIUS;/04 - DOCUMENTS D'EXECUTION/Lot 19 - Sols durs/02 - Pieces Graphiques;;;23/04/2024;;;;07/05/2024;;;;;23/04/2024;;23/04/2024;VAO;;2506;;"David QUERE :
Voir visa ci-joint.";;;;;;;;;;;23/04/2024;;;;07/05/2024;;;;;23/04/2024;;;;07/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;MC;EXE;SER;TNX;EXT;NTC;2003;A;Rapport d'essai au sac des pare-chutes.pdf;DI;23/04/2024;;Juliette Pasquesoone;/04 - DOCUMENTS D'EXECUTION/Lot 16 - Serrurerie - Métallerie/01 - Pieces Ecrite;;;23/04/2024;;;11;07/05/2024;;;;;;;;;;;;;;;;;;;;;;;23/04/2024;;;11;07/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;TUN;EXE;CVCD;TNX;TTZ;DAF;66;A;Fiche technique TRACAGE ELECTRIQUE.pdf;DI;23/04/2024;;Alexandre DESAINTPIERRE;/04 - DOCUMENTS D'EXECUTION/Lot 08A - CVCD/03 - Fiche Technique Produit;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;TUN;EXE;CVCD;TNX;TTZ;DAF;39;A;Fiche technique RIDEAU D'AIR CHAUD.pdf;DI;23/04/2024;;Alexandre DESAINTPIERRE;/04 - DOCUMENTS D'EXECUTION/Lot 08A - CVCD/03 - Fiche Technique Produit;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;23/04/2024;;;10;07/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;BSRE;EXE;ETA;R08;TTZ;DET;1;B; Carnet _ Détails_Etudes R+8 (1).pdf;DI;22/04/2024;;Salma Bouzinbi;/04 - DOCUMENTS D'EXECUTION/Lot 06 - Etanchéité/02 - Pieces Graphiques;;;22/04/2024;;;10;06/05/2024;;;;;22/04/2024;;24/04/2024;VAOB;;2510;;"Syeva ROEST :
Voir document annoté";;;;;;;;;;;22/04/2024;;;10;06/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;BSRE;EXE;ETA;TOI;TTZ;DET;1;A; Carnet _ Détails_Etudes R+9 (2).pdf;DI;22/04/2024;;Salma Bouzinbi;/04 - DOCUMENTS D'EXECUTION/Lot 06 - Etanchéité/02 - Pieces Graphiques;;;22/04/2024;;;10;06/05/2024;;;;;22/04/2024;;24/04/2024;VAOB;;2509;;"Syeva ROEST :
Voir document annoté";;;;;;;;;;;22/04/2024;;;10;06/05/2024;;;;;22/04/2024;;;10;06/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;DPR;EXE;SER;RDC;TTZ;PPS;1;A;MDLF-DPR-EXE-SER-RDC-TTZ-PPS-0001-A.pdf;DI;18/04/2024;;Clémence GORIUS;/04 - DOCUMENTS D'EXECUTION/LOT 00 - GENERAL/04 - PPSPS;;;18/04/2024;;;6;02/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/04/2024;;;6;jeudi 2 mai 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;
MDLF;DPR;EXE;PLC;SS2;TTZ;PLN;1009;A;MDLF-DPR-EXE-PLC-SS2-TTZ-PLN-1009-A-Implantation plancher surélevé.pdf;DI;18/04/2024;;Modibo Kane MAIGA;/04 - DOCUMENTS D'EXECUTION/Lot 17 - Faux plancher/02 - Pieces Graphiques;;;18/04/2024;;;6;02/05/2024;;;;;18/04/2024;;24/04/2024;VAO;;2507;;"Syeva ROEST :
Confirmer la compatibilité avec les équipements prévus dans ce local. Pas de finition/protection nécessaire?";"Modibo Kane MAIGA :
Suite à la FTM géothermie, plus d'équipements nécessaires dans le local.
Le faux-plancher dans le local sera réalisé avec des dalles techniques (type stratifié).";;;;;;;;;;18/04/2024;;19/04/2024;FAV;;2238;;;;18/04/2024;;;6;02/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
