PROJET;PHASE;EMET;LOT;ZONE;NIVEAU;TYPE DE DOCUMENT;3 caractère compris entre 0 & 9;Titre du document;INDICE;Libellé du document;Dernier indice;Date dépôt GED;Date de réception papier;Ajouté par;Chemin vers le fichier;Commentaire libre;Réponse commentaire libre;Date demande visaARC - DTACC;Retard visaARC - DTACC;Date visaARC - DTACC;VisaARC - DTACC;Visa prévuARC - DTACC;Numéro chrono visaARC - DTACC;Numéro interne visaARC - DTACC;Commentaire visaARC - DTACC;Réponse commentaire visaARC - DTACC;Date demande visaBET STR - SCYNA 4;Retard visaBET STR - SCYNA 4;Date visaBET STR - SCYNA 4;VisaBET STR - SCYNA 4;Visa prévuBET STR - SCYNA 4;Numéro chrono visaBET STR - SCYNA 4;Numéro interne visaBET STR - SCYNA 4;Commentaire visaBET STR - SCYNA 4;Réponse commentaire visaBET STR - SCYNA 4;Date demande visaBET Fluide - ATEC;Retard visaBET Fluide - ATEC;Date visaBET Fluide - ATEC;VisaBET Fluide - ATEC;Visa prévuBET Fluide - ATEC;Numéro chrono visaBET Fluide - ATEC;Numéro interne visaBET Fluide - ATEC;Commentaire visaBET Fluide - ATEC;Réponse commentaire visaBET Fluide - ATEC;Date demande visaCoordinateur SSI - EURO COORD;Retard visaCoordinateur SSI - EURO COORD;Date visaCoordinateur SSI - EURO COORD;VisaCoordinateur SSI - EURO COORD;Visa prévuCoordinateur SSI - EURO COORD;Numéro chrono visaCoordinateur SSI - EURO COORD;Numéro interne visaCoordinateur SSI - EURO COORD;Commentaire visaCoordinateur SSI - EURO COORD;Réponse commentaire visaCoordinateur SSI - EURO COORD;Date demande visaACOUSTIQUE - CAP HORN;Retard visaACOUSTIQUE - CAP HORN;Date visaACOUSTIQUE - CAP HORN;VisaACOUSTIQUE - CAP HORN;Visa prévuACOUSTIQUE - CAP HORN;Numéro chrono visaACOUSTIQUE - CAP HORN;Numéro interne visaACOUSTIQUE - CAP HORN;Commentaire visaACOUSTIQUE - CAP HORN;Réponse commentaire visaACOUSTIQUE - CAP HORN;Date demande visaBDC - BTP CONSULTANTS;Retard visaBDC - BTP CONSULTANTS;Date visaBDC - BTP CONSULTANTS;VisaBDC - BTP CONSULTANTS;Visa prévuBDC - BTP CONSULTANTS;Numéro chrono visaBDC - BTP CONSULTANTS;Numéro interne visaBDC - BTP CONSULTANTS;Commentaire visaBDC - BTP CONSULTANTS;Réponse commentaire visaBDC - BTP CONSULTANTS;Date demande visaBET Façade - ROUX INGENIERIE;Retard visaBET Façade - ROUX INGENIERIE;Date visaBET Façade - ROUX INGENIERIE;VisaBET Façade - ROUX INGENIERIE;Visa prévuBET Façade - ROUX INGENIERIE;Numéro chrono visaBET Façade - ROUX INGENIERIE;Numéro interne visaBET Façade - ROUX INGENIERIE;Commentaire visaBET Façade - ROUX INGENIERIE;Réponse commentaire visaBET Façade - ROUX INGENIERIE;Column82;Column83
PECM;EXE;DPR;FP;BUR;R+1;FTP;7;FT RIGITONE R;0;RigitoneRActivAirR 818.pdf;;05/10/2023;;Romario BANDULA;/01 - DOC EXE/Lot 14 - Plafonds Suspendus/Fiche Technique Produit;;;05/10/2023;-4;23/10/2023;REF;;45;;"Roberto SABELLA :
-	Ajouter une page de garde, avec les informations sur :
Libelle 
Description du produit
Dénomination
Destination / Localisation
Fournisseur
Type et référence / coloris
Caractéristique technique
Référence article CCTP / Plan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;05/10/2023;-10;29/10/2023;F;;69;;;;;;;;;;;;;;
PECM;EXE;DPR;PB;SAN;R+1;FTP;13;ARISTON VELIS EVO 45L;A;ARISTON VELIS EVO 45L.pdf;DI;18/04/2024;;Julien MATHIEU;/01 - DOC EXE/LOT 10 - Plomberie Sanitaire/Fiche Technique Produit;;;18/04/2024;;;7;03/05/2024;;;;;;;;;;;;;;18/04/2024;;22/04/2024;VSO;;95;;"Brice SIRJEAN :
cf PJ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PECM;EXE;DPR;PB;SAN;R+1;FTP;13;ARISTON VELIS EVO 45L;0;ARISTON VELIS EVO 45L.pdf;;23/10/2023;;Julien MATHIEU;/01 - DOC EXE/LOT 10 - Plomberie Sanitaire/Fiche Technique Produit;"#1 Kevin GUENOT :
Bonjour,  les chauffes eau  extra plat Ariston existent en 45l minimum";Aucune réponse au commentaire #1;23/10/2023;;31/10/2023;VAO;;161;;;;;;;;;;;;;23/10/2023;-7;13/11/2023;VSO;;53;;"Brice SIRJEAN :
cf PJ";;;;;;;;;;;;;;;;;;;;23/10/2023;;27/10/2023;H;;28;;;;;;;;;;;;;;
PECM;EXE;DPR;PB;SAN;R+1;FTP;2;BATI TOILETTE;A;en005n_VIGOUR_TOILETTES_BATI_PLAQUES_2023.pdf;DI;18/04/2024;;Julien MATHIEU;/01 - DOC EXE/LOT 10 - Plomberie Sanitaire/Fiche Technique Produit;;;18/04/2024;;;7;03/05/2024;;;;;;;;;;;;;;18/04/2024;;22/04/2024;VSO;;94;;"Brice SIRJEAN :
cf PJ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PECM;EXE;DPR;PB;SAN;R+1;FTP;2;BATI TOILETTE;0;en005n_VIGOUR_TOILETTES_BATI_PLAQUES_2023.pdf;;27/09/2023;;Julien MATHIEU;/01 - DOC EXE/LOT 10 - Plomberie Sanitaire/Fiche Technique Produit;;;27/09/2023;-20;31/10/2023;REF;;162;;;;;;;;;;;;;27/09/2023;-47;27/11/2023;VSO;;67;;"Brice SIRJEAN :
cf PJ";;;;;;;;;;;;;;;;;;;;27/09/2023;-16;27/10/2023;H;;32;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;BUR;R+1;FTP;1;FT PORTE DAS;A;FT DAS VV PIVOT LINTEAU.pdf;DI;18/04/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 09 - MINT/Fiche Technique Produit;;;18/04/2024;;;7;03/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/04/2024;;;7;03/05/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;MINT;BUR;R+1;FTP;1;FT PORTE DAS;0;FT DAS VV PIVOT LINTEAU.pdf;;28/09/2023;;Romario BANDULA;/01 - DOC EXE/Lot 09 - MINT/Fiche Technique Produit;;;28/09/2023;-11;23/10/2023;VOB;;88;;"Roberto SABELLA :
-	Ajouter une page de garde, avec les informations sur :
Libelle 
Description du produit
Dénomination
Destination / Localisation
Fournisseur
Type et référence / coloris
Caractéristique technique
Référence article CCTP / Plan";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28/09/2023;-14;27/10/2023;S;;47;;"Meriem ABDELLAOUI :
Il conviendra de nous communiquer le PV de classement au feu et le PV DAS.";"Julien MATHIEU :
Bonjour,

Je vous prie de bien vouloir trouver ci-joint le PV DAS et FEU déjà envoyé le 22/11/2023 par mail
 fr :  
D-240027.pdf";;;;;;;;;;;
PECM;EXE;DPR;CLO;TZ;R+1;PLN;1;PLANS EXE CLOISONS DOUBLAGES;C;KRT Plan doublages - cloisons R01 indice A.pdf;DI;18/04/2024;;Julien MATHIEU;/01 - DOC EXE/Lot 07 - Cloison Doublage/Pièces graphiques;;;18/04/2024;;;7;03/05/2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18/04/2024;;;7;03/05/2024;;;;;;;;;;;;;;;
PECM;EXE;DPR;CLO;TZ;R+1;PLN;1;PLANS EXE CLOISONS DOUBLAGES;B;KRT Plan doublages - cloisons R01 indice A.pdf;;15/12/2023;;Romario BANDULA;/01 - DOC EXE/Lot 07 - Cloison Doublage/Pièces graphiques;;;15/12/2023;-13;11/01/2024;VAO;;224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15/12/2023;;15/12/2023;PI;;;;;;;;;;;;;;;;
PECM;EXE;DPR;CLO;TZ;R+1;PLN;1;PLANS EXE CLOISONS DOUBLAGES;A;KRT Plan doublages - cloisons R01 indice A.pdf;;10/10/2023;;Romario BANDULA;/01 - DOC EXE/Lot 07 - Cloison Doublage/Pièces graphiques;;;10/10/2023;-2;27/10/2023;VAO;;129;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10/10/2023;;;;25/10/2023;;;;;10/10/2023;-4;29/10/2023;S;;96;;"Meriem ABDELLAOUI :
Il conviendra de nous communique les procès-verbaux justificatifs des résistances au feu.";;10/10/2023;-9;03/11/2023;NC;;7;;"Vincent Pottier :
hors mission";;;
